source,target,value,groupsource,grouptarget
Houston Rockets,New York Knicks,4,Houston Rockets,New York Knicks
Toronto Raptors,Boston Celtics,4,Toronto Raptors,Boston Celtics
Toronto Raptors,Los Angeles Clippers,4,Toronto Raptors,Los Angeles Clippers
Golden State Warriors,Washington Wizards,4,Golden State Warriors,Washington Wizards
Golden State Warriors,Boston Celtics,4,Golden State Warriors,Boston Celtics
Boston Celtics,Orlando Magic,4,Boston Celtics,Orlando Magic
Phoenix Suns,Brooklyn Nets,4,Phoenix Suns,Brooklyn Nets
Phoenix Suns,Golden State Warriors,4,Phoenix Suns,Golden State Warriors
San Antonio Spurs,Washington Wizards,4,San Antonio Spurs,Washington Wizards
New Orleans Pelicans,New York Knicks,4,New Orleans Pelicans,New York Knicks
Chicago Bulls,Boston Celtics,4,Chicago Bulls,Boston Celtics
Phoenix Suns,Philadelphia 76ers,4,Phoenix Suns,Philadelphia 76ers
Chicago Bulls,Toronto Raptors,4,Chicago Bulls,Toronto Raptors
Phoenix Suns,Minnesota Timberwolves,4,Phoenix Suns,Minnesota Timberwolves
Washington Wizards,Los Angeles Clippers,4,Washington Wizards,Los Angeles Clippers
Memphis Grizzlies,Phoenix Suns,4,Memphis Grizzlies,Phoenix Suns
Indiana Pacers,Washington Wizards,4,Indiana Pacers,Washington Wizards
San Antonio Spurs,Toronto Raptors,4,San Antonio Spurs,Toronto Raptors
Phoenix Suns,New Orleans Pelicans,4,Phoenix Suns,New Orleans Pelicans
New York Knicks,Minnesota Timberwolves,4,New York Knicks,Minnesota Timberwolves
Detroit Pistons,Toronto Raptors,4,Detroit Pistons,Toronto Raptors
Orlando Magic,Philadelphia 76ers,4,Orlando Magic,Philadelphia 76ers
Boston Celtics,Washington Wizards,4,Boston Celtics,Washington Wizards
Atlanta Hawks,Portland Trail Blazers,4,Atlanta Hawks,Portland Trail Blazers
San Antonio Spurs,Brooklyn Nets,4,San Antonio Spurs,Brooklyn Nets
Charlotte Bobcats,Boston Celtics,4,Charlotte Bobcats,Boston Celtics
Minnesota Timberwolves,Brooklyn Nets,4,Minnesota Timberwolves,Brooklyn Nets
Boston Celtics,Philadelphia 76ers,4,Boston Celtics,Philadelphia 76ers
Memphis Grizzlies,Chicago Bulls,4,Memphis Grizzlies,Chicago Bulls
Toronto Raptors,Cleveland Cavaliers,4,Toronto Raptors,Cleveland Cavaliers
San Antonio Spurs,Portland Trail Blazers,4,San Antonio Spurs,Portland Trail Blazers
Toronto Raptors,Milwaukee Bucks,4,Toronto Raptors,Milwaukee Bucks
Utah Jazz,Sacramento Kings,4,Utah Jazz,Sacramento Kings
Los Angeles Clippers,Memphis Grizzlies,4,Los Angeles Clippers,Memphis Grizzlies
New Orleans Pelicans,Memphis Grizzlies,4,New Orleans Pelicans,Memphis Grizzlies
Memphis Grizzlies,Los Angeles Clippers,4,Memphis Grizzlies,Los Angeles Clippers
Los Angeles Lakers,Charlotte Bobcats,4,Los Angeles Lakers,Charlotte Bobcats
Minnesota Timberwolves,Sacramento Kings,4,Minnesota Timberwolves,Sacramento Kings
Sacramento Kings,Los Angeles Lakers,4,Sacramento Kings,Los Angeles Lakers
Atlanta Hawks,Memphis Grizzlies,4,Atlanta Hawks,Memphis Grizzlies
Boston Celtics,Milwaukee Bucks,4,Boston Celtics,Milwaukee Bucks
Minnesota Timberwolves,New Orleans Pelicans,4,Minnesota Timberwolves,New Orleans Pelicans
Miami Heat,New Orleans Pelicans,4,Miami Heat,New Orleans Pelicans
Utah Jazz,Phoenix Suns,4,Utah Jazz,Phoenix Suns
Atlanta Hawks,Denver Nuggets,4,Atlanta Hawks,Denver Nuggets
Brooklyn Nets,Portland Trail Blazers,4,Brooklyn Nets,Portland Trail Blazers
Brooklyn Nets,Milwaukee Bucks,3,Brooklyn Nets,Milwaukee Bucks
Atlanta Hawks,Detroit Pistons,3,Atlanta Hawks,Detroit Pistons
Oklahoma City Thunder,Miami Heat,3,Oklahoma City Thunder,Miami Heat
Cleveland Cavaliers,Atlanta Hawks,3,Cleveland Cavaliers,Atlanta Hawks
Charlotte Bobcats,Cleveland Cavaliers,3,Charlotte Bobcats,Cleveland Cavaliers
Memphis Grizzlies,Milwaukee Bucks,3,Memphis Grizzlies,Milwaukee Bucks
Brooklyn Nets,Cleveland Cavaliers,3,Brooklyn Nets,Cleveland Cavaliers
Los Angeles Lakers,New Orleans Pelicans,3,Los Angeles Lakers,New Orleans Pelicans
Brooklyn Nets,Orlando Magic,3,Brooklyn Nets,Orlando Magic
Houston Rockets,New Orleans Pelicans,3,Houston Rockets,New Orleans Pelicans
Los Angeles Clippers,Philadelphia 76ers,3,Los Angeles Clippers,Philadelphia 76ers
Orlando Magic,Washington Wizards,3,Orlando Magic,Washington Wizards
Houston Rockets,Miami Heat,3,Houston Rockets,Miami Heat
Detroit Pistons,Minnesota Timberwolves,3,Detroit Pistons,Minnesota Timberwolves
Cleveland Cavaliers,Orlando Magic,3,Cleveland Cavaliers,Orlando Magic
Atlanta Hawks,Golden State Warriors,3,Atlanta Hawks,Golden State Warriors
Cleveland Cavaliers,Chicago Bulls,3,Cleveland Cavaliers,Chicago Bulls
Houston Rockets,Chicago Bulls,3,Houston Rockets,Chicago Bulls
Sacramento Kings,Cleveland Cavaliers,3,Sacramento Kings,Cleveland Cavaliers
Houston Rockets,Cleveland Cavaliers,3,Houston Rockets,Cleveland Cavaliers
Indiana Pacers,Minnesota Timberwolves,3,Indiana Pacers,Minnesota Timberwolves
Detroit Pistons,New York Knicks,3,Detroit Pistons,New York Knicks
Golden State Warriors,Portland Trail Blazers,3,Golden State Warriors,Portland Trail Blazers
Golden State Warriors,New York Knicks,3,Golden State Warriors,New York Knicks
Los Angeles Lakers,Brooklyn Nets,3,Los Angeles Lakers,Brooklyn Nets
Atlanta Hawks,New Orleans Pelicans,3,Atlanta Hawks,New Orleans Pelicans
Cleveland Cavaliers,Washington Wizards,3,Cleveland Cavaliers,Washington Wizards
Miami Heat,Brooklyn Nets,3,Miami Heat,Brooklyn Nets
New York Knicks,Philadelphia 76ers,3,New York Knicks,Philadelphia 76ers
Detroit Pistons,Chicago Bulls,3,Detroit Pistons,Chicago Bulls
Orlando Magic,New Orleans Pelicans,3,Orlando Magic,New Orleans Pelicans
Indiana Pacers,Golden State Warriors,3,Indiana Pacers,Golden State Warriors
New York Knicks,Utah Jazz,3,New York Knicks,Utah Jazz
Brooklyn Nets,New York Knicks,3,Brooklyn Nets,New York Knicks
Cleveland Cavaliers,Denver Nuggets,3,Cleveland Cavaliers,Denver Nuggets
Indiana Pacers,Utah Jazz,3,Indiana Pacers,Utah Jazz
Utah Jazz,Houston Rockets,3,Utah Jazz,Houston Rockets
Boston Celtics,Indiana Pacers,3,Boston Celtics,Indiana Pacers
Sacramento Kings,Chicago Bulls,3,Sacramento Kings,Chicago Bulls
Denver Nuggets,Los Angeles Clippers,3,Denver Nuggets,Los Angeles Clippers
Minnesota Timberwolves,New York Knicks,3,Minnesota Timberwolves,New York Knicks
Golden State Warriors,Toronto Raptors,3,Golden State Warriors,Toronto Raptors
Portland Trail Blazers,Golden State Warriors,3,Portland Trail Blazers,Golden State Warriors
Utah Jazz,Charlotte Bobcats,3,Utah Jazz,Charlotte Bobcats
Portland Trail Blazers,Milwaukee Bucks,3,Portland Trail Blazers,Milwaukee Bucks
Sacramento Kings,Indiana Pacers,3,Sacramento Kings,Indiana Pacers
Los Angeles Clippers,Toronto Raptors,3,Los Angeles Clippers,Toronto Raptors
Oklahoma City Thunder,Los Angeles Clippers,3,Oklahoma City Thunder,Los Angeles Clippers
Miami Heat,Indiana Pacers,3,Miami Heat,Indiana Pacers
New York Knicks,Chicago Bulls,3,New York Knicks,Chicago Bulls
Milwaukee Bucks,Toronto Raptors,3,Milwaukee Bucks,Toronto Raptors
Toronto Raptors,Atlanta Hawks,3,Toronto Raptors,Atlanta Hawks
Atlanta Hawks,Los Angeles Lakers,3,Atlanta Hawks,Los Angeles Lakers
Cleveland Cavaliers,Memphis Grizzlies,3,Cleveland Cavaliers,Memphis Grizzlies
Los Angeles Clippers,Boston Celtics,3,Los Angeles Clippers,Boston Celtics
Denver Nuggets,New Orleans Pelicans,3,Denver Nuggets,New Orleans Pelicans
Portland Trail Blazers,San Antonio Spurs,3,Portland Trail Blazers,San Antonio Spurs
Charlotte Bobcats,Portland Trail Blazers,3,Charlotte Bobcats,Portland Trail Blazers
San Antonio Spurs,Utah Jazz,3,San Antonio Spurs,Utah Jazz
Los Angeles Clippers,Atlanta Hawks,3,Los Angeles Clippers,Atlanta Hawks
Washington Wizards,Brooklyn Nets,3,Washington Wizards,Brooklyn Nets
Washington Wizards,Utah Jazz,3,Washington Wizards,Utah Jazz
Oklahoma City Thunder,Denver Nuggets,3,Oklahoma City Thunder,Denver Nuggets
Atlanta Hawks,Phoenix Suns,3,Atlanta Hawks,Phoenix Suns
Boston Celtics,Houston Rockets,3,Boston Celtics,Houston Rockets
Chicago Bulls,Memphis Grizzlies,3,Chicago Bulls,Memphis Grizzlies
Charlotte Bobcats,Toronto Raptors,3,Charlotte Bobcats,Toronto Raptors
Sacramento Kings,San Antonio Spurs,3,Sacramento Kings,San Antonio Spurs
Los Angeles Clippers,Houston Rockets,3,Los Angeles Clippers,Houston Rockets
Cleveland Cavaliers,Charlotte Bobcats,3,Cleveland Cavaliers,Charlotte Bobcats
Milwaukee Bucks,Indiana Pacers,3,Milwaukee Bucks,Indiana Pacers
Washington Wizards,Minnesota Timberwolves,3,Washington Wizards,Minnesota Timberwolves
Miami Heat,Toronto Raptors,3,Miami Heat,Toronto Raptors
Golden State Warriors,Charlotte Bobcats,3,Golden State Warriors,Charlotte Bobcats
New Orleans Pelicans,Denver Nuggets,3,New Orleans Pelicans,Denver Nuggets
Denver Nuggets,San Antonio Spurs,3,Denver Nuggets,San Antonio Spurs
Memphis Grizzlies,Minnesota Timberwolves,3,Memphis Grizzlies,Minnesota Timberwolves
Los Angeles Lakers,Indiana Pacers,3,Los Angeles Lakers,Indiana Pacers
Detroit Pistons,Brooklyn Nets,3,Detroit Pistons,Brooklyn Nets
New York Knicks,Portland Trail Blazers,3,New York Knicks,Portland Trail Blazers
Oklahoma City Thunder,Washington Wizards,3,Oklahoma City Thunder,Washington Wizards
Denver Nuggets,Philadelphia 76ers,3,Denver Nuggets,Philadelphia 76ers
Phoenix Suns,Sacramento Kings,3,Phoenix Suns,Sacramento Kings
Memphis Grizzlies,Orlando Magic,3,Memphis Grizzlies,Orlando Magic
Sacramento Kings,Washington Wizards,3,Sacramento Kings,Washington Wizards
New Orleans Pelicans,Washington Wizards,3,New Orleans Pelicans,Washington Wizards
Phoenix Suns,Cleveland Cavaliers,3,Phoenix Suns,Cleveland Cavaliers
Miami Heat,Sacramento Kings,3,Miami Heat,Sacramento Kings
San Antonio Spurs,Philadelphia 76ers,3,San Antonio Spurs,Philadelphia 76ers
Chicago Bulls,Los Angeles Clippers,3,Chicago Bulls,Los Angeles Clippers
Miami Heat,Los Angeles Clippers,3,Miami Heat,Los Angeles Clippers
Boston Celtics,Los Angeles Lakers,3,Boston Celtics,Los Angeles Lakers
New Orleans Pelicans,Sacramento Kings,3,New Orleans Pelicans,Sacramento Kings
Boston Celtics,Sacramento Kings,3,Boston Celtics,Sacramento Kings
New Orleans Pelicans,Charlotte Bobcats,3,New Orleans Pelicans,Charlotte Bobcats
Chicago Bulls,Phoenix Suns,3,Chicago Bulls,Phoenix Suns
Charlotte Bobcats,Houston Rockets,3,Charlotte Bobcats,Houston Rockets
Memphis Grizzlies,Charlotte Bobcats,3,Memphis Grizzlies,Charlotte Bobcats
Dallas Mavericks,Phoenix Suns,3,Dallas Mavericks,Phoenix Suns
Memphis Grizzlies,Washington Wizards,3,Memphis Grizzlies,Washington Wizards
Portland Trail Blazers,New York Knicks,3,Portland Trail Blazers,New York Knicks
Portland Trail Blazers,Charlotte Bobcats,3,Portland Trail Blazers,Charlotte Bobcats
Portland Trail Blazers,Dallas Mavericks,3,Portland Trail Blazers,Dallas Mavericks
Milwaukee Bucks,Charlotte Bobcats,3,Milwaukee Bucks,Charlotte Bobcats
Washington Wizards,Indiana Pacers,3,Washington Wizards,Indiana Pacers
Milwaukee Bucks,Portland Trail Blazers,3,Milwaukee Bucks,Portland Trail Blazers
Toronto Raptors,Washington Wizards,3,Toronto Raptors,Washington Wizards
Toronto Raptors,Utah Jazz,3,Toronto Raptors,Utah Jazz
Utah Jazz,Miami Heat,3,Utah Jazz,Miami Heat
Minnesota Timberwolves,San Antonio Spurs,3,Minnesota Timberwolves,San Antonio Spurs
Minnesota Timberwolves,Portland Trail Blazers,3,Minnesota Timberwolves,Portland Trail Blazers
Los Angeles Lakers,Memphis Grizzlies,3,Los Angeles Lakers,Memphis Grizzlies
Phoenix Suns,Milwaukee Bucks,3,Phoenix Suns,Milwaukee Bucks
Minnesota Timberwolves,Boston Celtics,3,Minnesota Timberwolves,Boston Celtics
Miami Heat,Charlotte Bobcats,3,Miami Heat,Charlotte Bobcats
New York Knicks,Indiana Pacers,3,New York Knicks,Indiana Pacers
Cleveland Cavaliers,Phoenix Suns,3,Cleveland Cavaliers,Phoenix Suns
Phoenix Suns,Orlando Magic,3,Phoenix Suns,Orlando Magic
Golden State Warriors,Phoenix Suns,3,Golden State Warriors,Phoenix Suns
Oklahoma City Thunder,Portland Trail Blazers,3,Oklahoma City Thunder,Portland Trail Blazers
Miami Heat,Cleveland Cavaliers,3,Miami Heat,Cleveland Cavaliers
Utah Jazz,Orlando Magic,3,Utah Jazz,Orlando Magic
Detroit Pistons,Utah Jazz,2,Detroit Pistons,Utah Jazz
Utah Jazz,Milwaukee Bucks,2,Utah Jazz,Milwaukee Bucks
Toronto Raptors,Indiana Pacers,2,Toronto Raptors,Indiana Pacers
Cleveland Cavaliers,Miami Heat,2,Cleveland Cavaliers,Miami Heat
Brooklyn Nets,Charlotte Bobcats,2,Brooklyn Nets,Charlotte Bobcats
Miami Heat,Golden State Warriors,2,Miami Heat,Golden State Warriors
Denver Nuggets,Milwaukee Bucks,2,Denver Nuggets,Milwaukee Bucks
Golden State Warriors,New Orleans Pelicans,2,Golden State Warriors,New Orleans Pelicans
Brooklyn Nets,Houston Rockets,2,Brooklyn Nets,Houston Rockets
Charlotte Bobcats,Oklahoma City Thunder,2,Charlotte Bobcats,Oklahoma City Thunder
Phoenix Suns,New York Knicks,2,Phoenix Suns,New York Knicks
Philadelphia 76ers,Chicago Bulls,2,Philadelphia 76ers,Chicago Bulls
Denver Nuggets,Sacramento Kings,2,Denver Nuggets,Sacramento Kings
Portland Trail Blazers,Boston Celtics,2,Portland Trail Blazers,Boston Celtics
Golden State Warriors,Detroit Pistons,2,Golden State Warriors,Detroit Pistons
Dallas Mavericks,Philadelphia 76ers,2,Dallas Mavericks,Philadelphia 76ers
Portland Trail Blazers,Washington Wizards,2,Portland Trail Blazers,Washington Wizards
New York Knicks,Boston Celtics,2,New York Knicks,Boston Celtics
Los Angeles Clippers,Detroit Pistons,2,Los Angeles Clippers,Detroit Pistons
New Orleans Pelicans,Chicago Bulls,2,New Orleans Pelicans,Chicago Bulls
Denver Nuggets,Charlotte Bobcats,2,Denver Nuggets,Charlotte Bobcats
Golden State Warriors,Minnesota Timberwolves,2,Golden State Warriors,Minnesota Timberwolves
Washington Wizards,Memphis Grizzlies,2,Washington Wizards,Memphis Grizzlies
Charlotte Bobcats,Orlando Magic,2,Charlotte Bobcats,Orlando Magic
Chicago Bulls,Dallas Mavericks,2,Chicago Bulls,Dallas Mavericks
Minnesota Timberwolves,Chicago Bulls,2,Minnesota Timberwolves,Chicago Bulls
Phoenix Suns,Denver Nuggets,2,Phoenix Suns,Denver Nuggets
Chicago Bulls,Orlando Magic,2,Chicago Bulls,Orlando Magic
Charlotte Bobcats,Miami Heat,2,Charlotte Bobcats,Miami Heat
Charlotte Bobcats,Denver Nuggets,2,Charlotte Bobcats,Denver Nuggets
Sacramento Kings,Phoenix Suns,2,Sacramento Kings,Phoenix Suns
Cleveland Cavaliers,New Orleans Pelicans,2,Cleveland Cavaliers,New Orleans Pelicans
Portland Trail Blazers,Sacramento Kings,2,Portland Trail Blazers,Sacramento Kings
Toronto Raptors,Brooklyn Nets,2,Toronto Raptors,Brooklyn Nets
Portland Trail Blazers,Atlanta Hawks,2,Portland Trail Blazers,Atlanta Hawks
Memphis Grizzlies,Atlanta Hawks,2,Memphis Grizzlies,Atlanta Hawks
Phoenix Suns,Oklahoma City Thunder,2,Phoenix Suns,Oklahoma City Thunder
Golden State Warriors,Chicago Bulls,2,Golden State Warriors,Chicago Bulls
Los Angeles Lakers,Golden State Warriors,2,Los Angeles Lakers,Golden State Warriors
San Antonio Spurs,Boston Celtics,2,San Antonio Spurs,Boston Celtics
San Antonio Spurs,New York Knicks,2,San Antonio Spurs,New York Knicks
Phoenix Suns,Chicago Bulls,2,Phoenix Suns,Chicago Bulls
Denver Nuggets,Chicago Bulls,2,Denver Nuggets,Chicago Bulls
Atlanta Hawks,Cleveland Cavaliers,2,Atlanta Hawks,Cleveland Cavaliers
Cleveland Cavaliers,Oklahoma City Thunder,2,Cleveland Cavaliers,Oklahoma City Thunder
Memphis Grizzlies,New York Knicks,2,Memphis Grizzlies,New York Knicks
Dallas Mavericks,Golden State Warriors,2,Dallas Mavericks,Golden State Warriors
New Orleans Pelicans,Indiana Pacers,2,New Orleans Pelicans,Indiana Pacers
Milwaukee Bucks,Philadelphia 76ers,2,Milwaukee Bucks,Philadelphia 76ers
Sacramento Kings,New York Knicks,2,Sacramento Kings,New York Knicks
Minnesota Timberwolves,Utah Jazz,2,Minnesota Timberwolves,Utah Jazz
Detroit Pistons,Portland Trail Blazers,2,Detroit Pistons,Portland Trail Blazers
Los Angeles Lakers,Denver Nuggets,2,Los Angeles Lakers,Denver Nuggets
Oklahoma City Thunder,New York Knicks,2,Oklahoma City Thunder,New York Knicks
Portland Trail Blazers,Memphis Grizzlies,2,Portland Trail Blazers,Memphis Grizzlies
Minnesota Timberwolves,Orlando Magic,2,Minnesota Timberwolves,Orlando Magic
Detroit Pistons,Charlotte Bobcats,2,Detroit Pistons,Charlotte Bobcats
Charlotte Bobcats,Washington Wizards,2,Charlotte Bobcats,Washington Wizards
Houston Rockets,Boston Celtics,2,Houston Rockets,Boston Celtics
Philadelphia 76ers,Atlanta Hawks,2,Philadelphia 76ers,Atlanta Hawks
Miami Heat,Phoenix Suns,2,Miami Heat,Phoenix Suns
New York Knicks,New Orleans Pelicans,2,New York Knicks,New Orleans Pelicans
Sacramento Kings,Philadelphia 76ers,2,Sacramento Kings,Philadelphia 76ers
Atlanta Hawks,Charlotte Bobcats,2,Atlanta Hawks,Charlotte Bobcats
Memphis Grizzlies,Golden State Warriors,2,Memphis Grizzlies,Golden State Warriors
Brooklyn Nets,Indiana Pacers,2,Brooklyn Nets,Indiana Pacers
Brooklyn Nets,New Orleans Pelicans,2,Brooklyn Nets,New Orleans Pelicans
Charlotte Bobcats,New Orleans Pelicans,2,Charlotte Bobcats,New Orleans Pelicans
Dallas Mavericks,New Orleans Pelicans,2,Dallas Mavericks,New Orleans Pelicans
San Antonio Spurs,Minnesota Timberwolves,2,San Antonio Spurs,Minnesota Timberwolves
Atlanta Hawks,New York Knicks,2,Atlanta Hawks,New York Knicks
Philadelphia 76ers,New York Knicks,2,Philadelphia 76ers,New York Knicks
San Antonio Spurs,Denver Nuggets,2,San Antonio Spurs,Denver Nuggets
Boston Celtics,Cleveland Cavaliers,2,Boston Celtics,Cleveland Cavaliers
Memphis Grizzlies,Cleveland Cavaliers,2,Memphis Grizzlies,Cleveland Cavaliers
Toronto Raptors,Chicago Bulls,2,Toronto Raptors,Chicago Bulls
Cleveland Cavaliers,New York Knicks,2,Cleveland Cavaliers,New York Knicks
Golden State Warriors,Houston Rockets,2,Golden State Warriors,Houston Rockets
New Orleans Pelicans,Milwaukee Bucks,2,New Orleans Pelicans,Milwaukee Bucks
Milwaukee Bucks,New York Knicks,2,Milwaukee Bucks,New York Knicks
Dallas Mavericks,New York Knicks,2,Dallas Mavericks,New York Knicks
Boston Celtics,Phoenix Suns,2,Boston Celtics,Phoenix Suns
Detroit Pistons,Denver Nuggets,2,Detroit Pistons,Denver Nuggets
Orlando Magic,Dallas Mavericks,2,Orlando Magic,Dallas Mavericks
Orlando Magic,Phoenix Suns,2,Orlando Magic,Phoenix Suns
Golden State Warriors,Sacramento Kings,2,Golden State Warriors,Sacramento Kings
Sacramento Kings,Utah Jazz,2,Sacramento Kings,Utah Jazz
Utah Jazz,New York Knicks,2,Utah Jazz,New York Knicks
New York Knicks,Golden State Warriors,2,New York Knicks,Golden State Warriors
Charlotte Bobcats,Golden State Warriors,2,Charlotte Bobcats,Golden State Warriors
Minnesota Timberwolves,Golden State Warriors,2,Minnesota Timberwolves,Golden State Warriors
San Antonio Spurs,Los Angeles Clippers,2,San Antonio Spurs,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies,2,Houston Rockets,Memphis Grizzlies
Minnesota Timberwolves,Houston Rockets,2,Minnesota Timberwolves,Houston Rockets
Oklahoma City Thunder,Toronto Raptors,2,Oklahoma City Thunder,Toronto Raptors
Indiana Pacers,Portland Trail Blazers,2,Indiana Pacers,Portland Trail Blazers
Portland Trail Blazers,Indiana Pacers,2,Portland Trail Blazers,Indiana Pacers
Milwaukee Bucks,Denver Nuggets,2,Milwaukee Bucks,Denver Nuggets
Detroit Pistons,Los Angeles Lakers,2,Detroit Pistons,Los Angeles Lakers
Portland Trail Blazers,Brooklyn Nets,2,Portland Trail Blazers,Brooklyn Nets
Los Angeles Lakers,Portland Trail Blazers,2,Los Angeles Lakers,Portland Trail Blazers
Indiana Pacers,Sacramento Kings,2,Indiana Pacers,Sacramento Kings
Indiana Pacers,Memphis Grizzlies,2,Indiana Pacers,Memphis Grizzlies
Toronto Raptors,Philadelphia 76ers,2,Toronto Raptors,Philadelphia 76ers
Oklahoma City Thunder,Milwaukee Bucks,2,Oklahoma City Thunder,Milwaukee Bucks
Dallas Mavericks,Miami Heat,2,Dallas Mavericks,Miami Heat
Milwaukee Bucks,Atlanta Hawks,2,Milwaukee Bucks,Atlanta Hawks
Dallas Mavericks,Orlando Magic,2,Dallas Mavericks,Orlando Magic
Detroit Pistons,Boston Celtics,2,Detroit Pistons,Boston Celtics
Boston Celtics,Charlotte Bobcats,2,Boston Celtics,Charlotte Bobcats
Milwaukee Bucks,Utah Jazz,2,Milwaukee Bucks,Utah Jazz
Charlotte Bobcats,Sacramento Kings,2,Charlotte Bobcats,Sacramento Kings
New Orleans Pelicans,Cleveland Cavaliers,2,New Orleans Pelicans,Cleveland Cavaliers
Indiana Pacers,New Orleans Pelicans,2,Indiana Pacers,New Orleans Pelicans
Washington Wizards,Boston Celtics,2,Washington Wizards,Boston Celtics
Brooklyn Nets,Oklahoma City Thunder,2,Brooklyn Nets,Oklahoma City Thunder
Washington Wizards,New Orleans Pelicans,2,Washington Wizards,New Orleans Pelicans
Philadelphia 76ers,Orlando Magic,2,Philadelphia 76ers,Orlando Magic
Utah Jazz,Los Angeles Lakers,2,Utah Jazz,Los Angeles Lakers
Portland Trail Blazers,Orlando Magic,2,Portland Trail Blazers,Orlando Magic
New York Knicks,Cleveland Cavaliers,2,New York Knicks,Cleveland Cavaliers
Brooklyn Nets,Detroit Pistons,1,Brooklyn Nets,Detroit Pistons
Milwaukee Bucks,Oklahoma City Thunder,1,Milwaukee Bucks,Oklahoma City Thunder
Oklahoma City Thunder,Boston Celtics,1,Oklahoma City Thunder,Boston Celtics
Memphis Grizzlies,Detroit Pistons,1,Memphis Grizzlies,Detroit Pistons
Indiana Pacers,Oklahoma City Thunder,1,Indiana Pacers,Oklahoma City Thunder
Milwaukee Bucks,Sacramento Kings,1,Milwaukee Bucks,Sacramento Kings
Washington Wizards,Sacramento Kings,1,Washington Wizards,Sacramento Kings
Orlando Magic,Oklahoma City Thunder,1,Orlando Magic,Oklahoma City Thunder
Toronto Raptors,Charlotte Bobcats,1,Toronto Raptors,Charlotte Bobcats
Utah Jazz,Philadelphia 76ers,1,Utah Jazz,Philadelphia 76ers
Oklahoma City Thunder,San Antonio Spurs,1,Oklahoma City Thunder,San Antonio Spurs
Washington Wizards,Houston Rockets,1,Washington Wizards,Houston Rockets
Cleveland Cavaliers,Philadelphia 76ers,1,Cleveland Cavaliers,Philadelphia 76ers
Cleveland Cavaliers,Sacramento Kings,1,Cleveland Cavaliers,Sacramento Kings
Chicago Bulls,Milwaukee Bucks,1,Chicago Bulls,Milwaukee Bucks
Los Angeles Clippers,Utah Jazz,1,Los Angeles Clippers,Utah Jazz
Washington Wizards,Detroit Pistons,1,Washington Wizards,Detroit Pistons
Charlotte Bobcats,Phoenix Suns,1,Charlotte Bobcats,Phoenix Suns
Los Angeles Lakers,Boston Celtics,1,Los Angeles Lakers,Boston Celtics
San Antonio Spurs,Charlotte Bobcats,1,San Antonio Spurs,Charlotte Bobcats
Indiana Pacers,Atlanta Hawks,1,Indiana Pacers,Atlanta Hawks
Sacramento Kings,Charlotte Bobcats,1,Sacramento Kings,Charlotte Bobcats
Detroit Pistons,Washington Wizards,1,Detroit Pistons,Washington Wizards
Utah Jazz,New Orleans Pelicans,1,Utah Jazz,New Orleans Pelicans
Utah Jazz,Minnesota Timberwolves,1,Utah Jazz,Minnesota Timberwolves
Denver Nuggets,Indiana Pacers,1,Denver Nuggets,Indiana Pacers
Philadelphia 76ers,Dallas Mavericks,1,Philadelphia 76ers,Dallas Mavericks
Utah Jazz,Oklahoma City Thunder,1,Utah Jazz,Oklahoma City Thunder
Oklahoma City Thunder,Philadelphia 76ers,1,Oklahoma City Thunder,Philadelphia 76ers
Memphis Grizzlies,Indiana Pacers,1,Memphis Grizzlies,Indiana Pacers
Chicago Bulls,Los Angeles Lakers,1,Chicago Bulls,Los Angeles Lakers
Boston Celtics,Utah Jazz,1,Boston Celtics,Utah Jazz
Sacramento Kings,Milwaukee Bucks,1,Sacramento Kings,Milwaukee Bucks
Milwaukee Bucks,Washington Wizards,1,Milwaukee Bucks,Washington Wizards
Washington Wizards,Chicago Bulls,1,Washington Wizards,Chicago Bulls
Brooklyn Nets,Philadelphia 76ers,1,Brooklyn Nets,Philadelphia 76ers
Philadelphia 76ers,Phoenix Suns,1,Philadelphia 76ers,Phoenix Suns
Philadelphia 76ers,Denver Nuggets,1,Philadelphia 76ers,Denver Nuggets
Minnesota Timberwolves,Philadelphia 76ers,1,Minnesota Timberwolves,Philadelphia 76ers
Sacramento Kings,Brooklyn Nets,1,Sacramento Kings,Brooklyn Nets
Dallas Mavericks,Portland Trail Blazers,1,Dallas Mavericks,Portland Trail Blazers
Washington Wizards,Milwaukee Bucks,1,Washington Wizards,Milwaukee Bucks
San Antonio Spurs,Detroit Pistons,1,San Antonio Spurs,Detroit Pistons
Orlando Magic,Golden State Warriors,1,Orlando Magic,Golden State Warriors
Dallas Mavericks,Sacramento Kings,1,Dallas Mavericks,Sacramento Kings
Chicago Bulls,Minnesota Timberwolves,1,Chicago Bulls,Minnesota Timberwolves
Chicago Bulls,Washington Wizards,1,Chicago Bulls,Washington Wizards
Washington Wizards,Charlotte Bobcats,1,Washington Wizards,Charlotte Bobcats
San Antonio Spurs,Atlanta Hawks,1,San Antonio Spurs,Atlanta Hawks
Atlanta Hawks,Boston Celtics,1,Atlanta Hawks,Boston Celtics
Utah Jazz,Brooklyn Nets,1,Utah Jazz,Brooklyn Nets
Utah Jazz,Boston Celtics,1,Utah Jazz,Boston Celtics
Boston Celtics,Atlanta Hawks,1,Boston Celtics,Atlanta Hawks
Atlanta Hawks,Indiana Pacers,1,Atlanta Hawks,Indiana Pacers
